REWARDS COMPUTED TO BLOCK: 18010891
address, credit_account_miner, early_community_member, early_liquidity_provider, early_credit_account_user, cider_participants, early_gear_lps, pool ddai, pool dusdc, pool dweth, pool dwbtc, pool dwsteth, pool dfrax, cm dai, cm usdc, cm weth, cm wbtc, cm wsteth, cm frax, total, claimed, to pay
0x463c3870004807405372f182172c31614991681e, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x6bdd15ae9944f44c65f90c5bed210cbb0c668184, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xb32fc7b40a89e0547bd16664a57fcfceecbeeeec, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x53603e1969d0cfc9bea8b956e15453553264d64e, 100000, 0, 0, 0, 5749, 924, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106673, 100000, 6673
0x7171341c9761a254b758dc86d2d2f7025c243a3e, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xc16e734ff0a5207fac0aab8fb6bc4707e4179d24, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x5315a1c257fd6266f9608f31ac9b6501c98c5750, 100000, 20000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120000, 120000, 0
0x79d93cbf3583e62dd3edbddd1ee1121f8b07af81, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x36162c7b2d4a94686d74f8c9649769e1733ee42e, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x442feea58ed534d15b6773322567f8e954563b44, 100000, 0, 0, 0, 5749, 4028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109777, 100000, 9777
0x1f22043648d5299daf343ce520ef024456c95b55, 100000, 20000, 0, 0, 7859, 731, 816, 0, 14872, 0, 0, 0, 0, 42994, 0, 0, 0, 0, 187272, 136684, 50588
0xad3cd290115552be576780eb0298d72c554c1b9e, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x5605a4c73744943d2281c725f03eeef730f7d8d1, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x33cafe01ac463640362cbab6ee6499abea475447, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xe160a7499d4079a91c0bb718059ddecc31ae078d, 100000, 20000, 0, 0, 5749, 4028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129777, 100000, 29777
0xd4668d6d6cb365b58d6ab4931e6b8bbeb3411be0, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x2421134c8e8278ad199f6886ae70c5c373da3b48, 100000, 0, 0, 0, 5749, 536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106285, 100000, 6285
0xe15494e529d8ce5a9b37ad51bd082a884cf3fa74, 100000, 0, 0, 0, 5749, 1554, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107303, 100000, 7303
0x4467554da9e6e79ef5f90f0c0fcbf7d645c394cf, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
